"year"	"country"	"fdi"	"population"	"arms_exports"	"conflict_id"	"conflict"	"polity2"	"alliance"	"km_dist"	"gdp"	"gdp_perc_growth"
2008	"Aruba"	-3.7e+07	101353	NA	NA	NA	NA	NA	NA	2791960893.85475	0.0641204990130892
2009	"Aruba"	-3.66e+08	101453	NA	NA	NA	NA	NA	NA	2498932960.89385	-0.10495416809235
2010	"Aruba"	3.83e+08	101669	NA	NA	NA	NA	NA	NA	2467703910.61453	-0.0124969540071813
2011	"Aruba"	NA	102053	NA	NA	NA	NA	NA	NA	2584463687.15084	0.0473151483182734
2012	"Aruba"	NA	102577	NA	NA	NA	NA	NA	NA	NA	NA
2003	"Australia"	7.717e+09	19696972	165	NA	NA	10	1	15923	466294700058.241	0.182028920954648
2004	"Australia"	NA	19948429	114	NA	NA	10	1	15923	611904253805.662	0.312269373272383
2005	"Australia"	NA	20238903	101	NA	NA	10	1	15923	692641708013.833	0.131944587255334
2006	"Australia"	1.473e+09	20573606	348	NA	NA	10	1	15923	745521862833.184	0.0763456116019725
2007	"Australia"	1.0122e+10	20946664	574	NA	NA	10	1	15923	851962785585.303	0.142773710683165
2008	"Australia"	1.0158e+10	21342493	320	NA	NA	10	1	15923	1052584601611.46	0.235481900642325
2009	"Australia"	4.453e+09	21739040	610	NA	NA	10	1	15923	926448240318.068	-0.119834891276466
2010	"Australia"	1.9877e+10	22120064	1389	NA	NA	10	1	15923	1144260547872.81	0.235104669722253
2011	"Australia"	1.2561e+10	22479799	1004	NA	NA	10	1	15923	1394280784777.68	0.218499394538822
2012	"Australia"	2.2063e+10	22821849	589	NA	NA	10	1	15923	1543411012579.91	0.106958533338756
2003	"Austria"	1.609e+09	8175852	NA	NA	NA	10	NA	7130	261695778781.038	0.226443490044165
2004	"Austria"	4.4e+07	8216805	NA	NA	NA	10	NA	7130	300904221504.842	0.149824513434777
2005	"Austria"	-7.685e+09	8253650	NA	NA	NA	10	NA	7130	315974418604.651	0.0500830364706815
2006	"Austria"	1.085e+09	8284735	NA	NA	NA	10	NA	7130	335998557270.104	0.0633726576786816
2007	"Austria"	1.079e+09	8311783	NA	NA	NA	10	NA	7130	388691445387.353	0.15682474515773
2008	"Austria"	1.327e+09	8338453	NA	NA	NA	10	NA	7130	430294287388.311	0.107033078537395
2009	"Austria"	1.942e+09	8370038	NA	NA	NA	10	NA	7130	400172297860.517	-0.0700032289775925
2010	"Austria"	1.273e+09	8409949	NA	NA	NA	10	NA	7130	391892746544.69	-0.0206899661972927
2011	"Austria"	1.923e+09	8459864	NA	NA	NA	10	NA	7130	431120310088.82	0.100097702470889
2012	"Austria"	1.894e+09	8517548	NA	NA	NA	10	NA	7130	409425234155.263	-0.0503225559683963
2003	"Azerbaijan"	2.07e+08	8361359	NA	NA	NA	-7	NA	9708	7276013031.96905	0.166814000580675
2004	"Azerbaijan"	8.64e+08	8448882	NA	NA	NA	-7	NA	9708	8680472168.51531	0.193025923727102
2005	"Azerbaijan"	3.3e+08	8538606	NA	388	1	-7	NA	9708	13245716099.0057	0.525921152889454
2006	"Azerbaijan"	1.114e+09	8630195	NA	NA	NA	-7	NA	9708	20982986344.3027	0.584133782384012
2007	"Azerbaijan"	1.313e+09	8724304	NA	NA	NA	-7	NA	9708	33050343782.7759	0.575102001233953
2008	"Azerbaijan"	NA	8821908	NA	388	1	-7	NA	9708	48852482960.0779	0.478123292186063
2009	"Azerbaijan"	NA	8924407	0	NA	NA	-7	NA	9708	44291490420.5026	-0.0933625532053822
2010	"Azerbaijan"	NA	9032457	1	NA	NA	-7	NA	9708	52902703376.1056	0.194421386000974
2011	"Azerbaijan"	NA	9146379	1	NA	NA	-7	NA	9708	65951627200.2026	0.246658922727015
2012	"Azerbaijan"	NA	9264917	2	388	1	-7	NA	9708	69683935845.2138	0.056591608174904
2003	"Bahamas"	2.68e+08	315746	NA	NA	NA	NA	1	1623	NA	NA
2004	"Bahamas"	1.175e+09	322526	NA	NA	NA	NA	1	1623	NA	NA
2005	"Bahamas"	1.338e+09	329249	3	NA	NA	NA	1	1623	NA	NA
2006	"Bahamas"	-3.83e+08	335830	NA	NA	NA	NA	1	1623	NA	NA
2007	"Bahamas"	1.686e+09	342328	NA	NA	NA	NA	1	1623	NA	NA
2008	"Bahamas"	-1.04e+09	348676	NA	NA	NA	NA	1	1623	NA	NA
2009	"Bahamas"	2.351e+09	354856	1	NA	NA	NA	1	1623	NA	NA
2010	"Bahamas"	1.7e+07	360832	NA	NA	NA	NA	1	1623	NA	NA
2011	"Bahamas"	2.865e+09	366568	NA	NA	NA	NA	1	1623	NA	NA
2012	"Bahamas"	-1.433e+09	372039	NA	NA	NA	NA	1	1623	NA	NA
2003	"Bahrain"	6e+07	778711	1	NA	NA	-7	NA	NA	11074822074.4681	0.149776141819748
2004	"Bahrain"	2.7e+07	829848	NA	NA	NA	-7	NA	NA	13150166755.3191	0.187393049468081
2005	"Bahrain"	-4.5e+07	889168	63	NA	NA	-7	NA	NA	15968726861.7021	0.214336453584737
2006	"Bahrain"	-1.02e+08	958414	3	NA	NA	-7	NA	NA	18505053191.4894	0.158830841791789
2007	"Bahrain"	-8.5e+07	1035891	26	NA	NA	-7	NA	NA	2.173e+10	0.174273846994062
2008	"Bahrain"	-1.9e+07	1114590	2	NA	NA	-7	NA	NA	25710877659.5745	0.183197315212816
2009	"Bahrain"	-3.21e+08	1185029	NA	NA	NA	-7	NA	NA	22938218085.1064	-0.107839942734728
2010	"Bahrain"	1.18e+08	1240862	68	NA	NA	-5	NA	NA	25713271276.5957	0.120979458002935
2011	"Bahrain"	1.09e+08	1278269	NA	NA	NA	-8	NA	NA	28776595744.6809	0.119133984747925
2012	"Bahrain"	-2.32e+08	1300217	NA	NA	NA	-10	NA	NA	30749308510.6383	0.0685526802218098
2003	"Bangladesh"	-2.2e+07	139019001	NA	NA	NA	6	NA	13000	60158929188.2556	0.0993136394383863
2004	"Bangladesh"	-2e+06	141307489	NA	NA	NA	6	NA	13000	65108544250.0425	0.082275650989366
2005	"Bangladesh"	1.03e+08	143431101	NA	11350	1	6	NA	13000	69442943089.4309	0.0665718899003883
2006	"Bangladesh"	1.74e+08	145368004	NA	11350	1	6	NA	13000	71819083683.7403	0.0342171643164566
2007	"Bangladesh"	2.9e+07	147139191	NA	NA	NA	-6	NA	13000	79611888213.148	0.108506042262023
2008	"Bangladesh"	2.8e+07	148805814	NA	NA	NA	-6	NA	13000	91631278239.3237	0.150974814138257
2009	"Bangladesh"	2.3e+07	150454708	NA	NA	NA	5	NA	13000	102477791472.39	0.118371296804757
2010	"Bangladesh"	-2.6e+07	152149102	NA	NA	NA	5	NA	13000	115279077465.226	0.124917660781995
2011	"Bangladesh"	NA	153911916	NA	NA	NA	5	NA	13000	128637938711.386	0.115882791048443
2012	"Bangladesh"	NA	155727053	NA	NA	NA	5	NA	13000	133355749482.478	0.0366751116999546
2003	"Barbados"	-5.22e+08	272258	NA	NA	NA	NA	1	3330	3274850000	0.0332060827864715
2004	"Barbados"	1.526e+09	273091	NA	NA	NA	NA	1	3330	3514350000	0.0731331206009436
2005	"Barbados"	2.66e+08	274009	NA	NA	NA	NA	1	3330	3897300000	0.10896751888685
2006	"Barbados"	5.03e+08	275039	NA	NA	NA	NA	1	3330	4246600000	0.0896261514381752
2007	"Barbados"	-3.595e+09	276150	NA	NA	NA	NA	1	3330	4523750000	0.0652639758865916
2008	"Barbados"	1.047e+09	277319	NA	NA	NA	NA	1	3330	4607300000	0.018469190384084
2009	"Barbados"	1.037e+09	278470	NA	NA	NA	NA	1	3330	4434050000	-0.0376033685672737
2010	"Barbados"	1.747e+09	279569	NA	NA	NA	NA	1	3330	4461650000	0.00622455768428412
2011	"Barbados"	4.677e+09	280601	NA	NA	NA	NA	1	3330	4660900000	0.0446583662994632
2012	"Barbados"	3.721e+09	281585	NA	NA	NA	NA	1	3330	4656350000	-0.000976206312085649
2003	"Belarus"	0	9740054	NA	NA	NA	-7	NA	NA	17827791321.3067	0.221562774031226
2004	"Belarus"	NA	9676902	NA	NA	NA	-7	NA	NA	23144351851.8519	0.298217565750344
2005	"Belarus"	NA	9621543	NA	NA	NA	-7	NA	NA	30207567316.6202	0.305180957755062
2006	"Belarus"	1e+06	9575043	NA	NA	NA	-7	NA	NA	36954312354.3124	0.223346188952466
2007	"Belarus"	1e+06	9536864	NA	NA	NA	-7	NA	NA	45277399813.6067	0.225226419571653
2008	"Belarus"	1e+06	9507331	NA	NA	NA	-7	NA	NA	60763483146.0674	0.342026781489489
2009	"Belarus"	2e+06	9486239	NA	NA	NA	-7	NA	NA	49209523809.5238	-0.190146429044718
2010	"Belarus"	2e+06	9473071	NA	NA	NA	-7	NA	NA	57222490768.7143	0.162833661837624
2011	"Belarus"	2e+06	9468500	NA	NA	NA	-7	NA	NA	61757788944.7236	0.0792572660693917
2012	"Belarus"	2e+06	9471730	NA	NA	NA	-7	NA	NA	65685102554.8759	0.0635921990935823
2003	"Belgium"	7.21e+08	10419032	21	NA	NA	10	1	6246	319002821670.429	0.232335175589337
2004	"Belgium"	6.367e+09	10480117	9	NA	NA	10	1	6246	370885026074	0.16263870059799
2005	"Belgium"	7.697e+09	10546886	3	NA	NA	10	1	6246	387365750528.541	0.0444362087868512
2006	"Belgium"	3.864e+09	10619567	3	NA	NA	10	1	6246	409813197842.178	0.0579489727292838
2007	"Belgium"	7.562e+09	10697835	4	NA	NA	8	1	6246	471821105940.323	0.151307738317458
2008	"Belgium"	4.415e+09	10779173	6	NA	NA	8	1	6246	518625897172.99	0.0992002914735802
2009	"Belgium"	4.679e+09	10860290	12	NA	NA	8	1	6246	484552792442.345	-0.0656988108699859
2010	"Belgium"	3.846e+09	10938739	3	NA	NA	8	1	6246	483548031197.108	-0.00207358467623846
2011	"Belgium"	4.36e+09	11013083	2	NA	NA	8	1	6246	527008453886.929	0.0898781917945714
2012	"Belgium"	2.094e+09	11083550	6	NA	NA	8	1	6246	497884216568.867	-0.0552633209263673
2003	"Belize"	2e+06	269130	NA	NA	NA	NA	1	2606	990374050	0.0620042735425381
2004	"Belize"	4.9e+07	276089	NA	NA	NA	NA	1	2606	1057845500	0.0681272394001034
2006	"Belize"	NA	290747	NA	NA	NA	NA	1	2606	1217467600	0.0926610666782861
2007	"Belize"	NA	298407	NA	NA	NA	NA	1	2606	1290573400	0.0600474295989478
2008	"Belize"	2e+06	306165	NA	NA	NA	NA	1	2606	1368625150	0.060478350165903
2009	"Belize"	2e+06	313929	NA	NA	NA	NA	1	2606	1336957250	-0.0231384758638989
2010	"Belize"	-3e+06	321608	NA	NA	NA	NA	1	2606	1397113450	0.0449948567914195
2011	"Belize"	-7e+06	329192	NA	NA	NA	NA	1	2606	1487005600	0.0643413389227625
2012	"Belize"	-1.9e+07	336701	NA	NA	NA	NA	1	2606	1573670250	0.0582813205276429
2003	"Benin"	0	7520555	NA	NA	NA	6	NA	8686	3905366187.87017	0.278531775305068
2004	"Benin"	5.2e+07	7750004	NA	NA	NA	6	NA	8686	4521424807.22519	0.157746697676766
2005	"Benin"	-4.1e+07	7982225	NA	NA	NA	6	NA	8686	4803702821.08056	0.0624312082784816
2006	"Benin"	6e+06	8216896	NA	NA	NA	7	NA	8686	5142380779.44103	0.070503520091671
2007	"Benin"	-8e+06	8454791	NA	NA	NA	7	NA	8686	5969535131.58016	0.16085046744225
2008	"Benin"	2e+06	8696916	NA	NA	NA	7	NA	8686	7132787396.66547	0.194864799259066
2009	"Benin"	-1e+07	8944706	NA	NA	NA	7	NA	8686	7097198711.61023	-0.00498944985685079
2010	"Benin"	0	9199259	NA	NA	NA	7	NA	8686	6970240895.49888	-0.0178884403932021
2011	"Benin"	0	9460802	NA	NA	NA	7	NA	8686	7814081155.64988	0.121063285014428
2012	"Benin"	0	9729160	NA	NA	NA	7	NA	8686	8152554487.31321	0.0433158198540848
2003	"Bermuda"	-3.778e+09	64870	NA	NA	NA	NA	NA	NA	4186525000	0.0633178977696999
2004	"Bermuda"	4.365e+09	65065	NA	NA	NA	NA	NA	NA	4484703000	0.0712232698956772
2005	"Bermuda"	-1e+09	65130	NA	NA	NA	NA	NA	NA	4868136000	0.0854979694307516
2006	"Bermuda"	1.9944e+10	65063	NA	NA	NA	NA	NA	NA	5414299000	0.112191401390594
2007	"Bermuda"	1.4785e+10	64892	NA	NA	NA	NA	NA	NA	5895048000	0.0887924734116088
2008	"Bermuda"	7.824e+09	64625	NA	NA	NA	NA	NA	NA	6109928000	0.0364509330543195
2009	"Bermuda"	2.9149e+10	64303	NA	NA	NA	NA	NA	NA	5806378000	-0.0496814365079261
2010	"Bermuda"	1.2976e+10	63956	NA	NA	NA	NA	NA	NA	5744414000	-0.0106717130713846
2011	"Bermuda"	2.2013e+10	63581	NA	NA	NA	NA	NA	NA	5550771000	-0.033709791808181
2012	"Bermuda"	2.8694e+10	63179	NA	NA	NA	NA	NA	NA	5537537000	-0.00238417329772747
2003	"Bhutan"	1e+06	623434	NA	NA	NA	-10	NA	12551	622026107.771576	0.158227265425016
2006	"Bhutan"	0	672228	NA	NA	NA	-5	NA	12551	897731524.929922	0.0963064492962352
2007	"Bhutan"	0	686958	NA	NA	NA	-5	NA	12551	1196091805.02316	0.332349117534363
2008	"Bhutan"	0	700950	NA	NA	NA	3	NA	12551	1258332337.28382	0.0520365844822879
2009	"Bhutan"	0	714458	NA	NA	NA	3	NA	12551	1264758197.96593	0.00510664829291493
2010	"Bhutan"	0	727641	NA	NA	NA	3	NA	12551	1585472534.10547	0.253577590289855
2011	"Bhutan"	0	740510	NA	NA	NA	3	NA	12551	1820207625.80217	0.148053710579817
2012	"Bhutan"	0	752967	NA	NA	NA	3	NA	12551	1823692109.61652	0.00191433315900667
2003	"Bosnia and Herzegovina"	0	3779247	NA	NA	NA	NA	NA	NA	8370020196.19158	0.258417616678761
2004	"Bosnia and Herzegovina"	NA	3781287	NA	NA	NA	NA	NA	NA	10022840634.9206	0.197469109988655
2005	"Bosnia and Herzegovina"	NA	3781530	NA	NA	NA	NA	NA	NA	11225138297.1959	0.11995577961066
2006	"Bosnia and Herzegovina"	-2e+06	3779468	NA	NA	NA	NA	NA	NA	12866524918.2221	0.146224178051884
2007	"Bosnia and Herzegovina"	-1e+06	3774000	NA	NA	NA	NA	NA	NA	15776422673.198	0.226160348149234
2008	"Bosnia and Herzegovina"	-1e+06	3763599	NA	NA	NA	NA	NA	NA	19112739664.4697	0.21147487363784
2009	"Bosnia and Herzegovina"	1e+06	3746561	NA	NA	NA	NA	NA	NA	17613836209.9581	-0.0784243117849839
2010	"Bosnia and Herzegovina"	1e+06	3722084	NA	NA	NA	NA	NA	NA	17176781336.7644	-0.0248131564290695
2011	"Bosnia and Herzegovina"	1e+06	3688865	NA	NA	NA	NA	NA	NA	18644723860.9709	0.0854608611139844
2012	"Bosnia and Herzegovina"	1e+06	3648200	NA	NA	NA	NA	NA	NA	17226849297.07	-0.0760469596907759
2003	"Botswana"	-9e+06	1804339	NA	NA	NA	8	NA	12730	7511582173.37724	0.381095701903082
2004	"Botswana"	3e+06	1829330	NA	NA	NA	8	NA	12730	8957467706.5354	0.192487481303567
2005	"Botswana"	NA	1855852	NA	NA	NA	8	NA	12730	9931134940.51346	0.108698938793569
2006	"Botswana"	NA	1884238	NA	NA	NA	8	NA	12730	10126940513.3125	0.0197163339308041
2007	"Botswana"	NA	1914414	NA	NA	NA	8	NA	12730	10939053365.4786	0.080193307257856
2008	"Botswana"	2e+06	1946351	NA	NA	NA	8	NA	12730	10945070441.9283	0.000550054584127907
2009	"Botswana"	1.5e+07	1979882	2	NA	NA	8	NA	12730	10267133177.7334	-0.0619399635472297
2010	"Botswana"	3e+06	2014866	2	NA	NA	8	NA	12730	12786654365.8738	0.24539675725689
2011	"Botswana"	3e+06	2051339	NA	NA	NA	8	NA	12730	15682926895.9668	0.226507454352003
2012	"Botswana"	4.5e+07	2089315	NA	NA	NA	8	NA	12730	14686278707.4589	-0.063549884222454
2003	"Brazil"	-2.9e+08	182482149	8	NA	NA	8	1	6722	558319920831.979	0.0991361258977326
2004	"Brazil"	2.644e+09	184738458	20	NA	NA	8	1	6722	669316654017.094	0.198804894906335
2005	"Brazil"	1.4e+09	186917361	18	NA	NA	8	1	6722	891630175813.342	0.332149992775423
2006	"Brazil"	2.23e+08	189012412	18	NA	NA	8	1	6722	1107640297889.95	0.242264257016161
2007	"Brazil"	5.585e+09	191026637	19	NA	NA	8	1	6722	1397084345950.39	0.261315924142368
2008	"Brazil"	3.825e+09	192979029	33	NA	NA	8	1	6722	1695824571927.15	0.213831202706331
2009	"Brazil"	3.5e+09	194895996	0	NA	NA	8	1	6722	1667019780934.28	-0.0169857138938233
2010	"Brazil"	9.643e+09	196796269	24	NA	NA	8	1	6722	2208871646202.82	0.325042252926872
2011	"Brazil"	1.026e+10	198686688	84	NA	NA	8	1	6722	2616201578192.25	0.184406338272146
2012	"Brazil"	7.942e+09	200560983	111	NA	NA	8	1	6722	2465188674415.03	-0.0577221973398424
2003	"Brunei Darussalam"	4e+06	353389	NA	NA	NA	NA	NA	NA	6557333084.60567	0.122191299497402
2004	"Brunei Darussalam"	-5e+06	359523	NA	NA	NA	NA	NA	NA	7872333215.00414	0.200538864418163
2005	"Brunei Darussalam"	-1.8e+07	365158	NA	NA	NA	NA	NA	NA	9531402847.87311	0.210746876123954
